问题	备注
DT游戏怎么进不去啊进去就弹出来进去就弹出来	游戏进不去
怎么游戏近不去啊	游戏进不去
pt怎么近不去	游戏进不去
我要玩mg为什么近不去	游戏进不去
PT今天什么游戏出分	游戏咨询
怎么登陆pt客服端	游戏咨询
pt游戏局号怎么查询	游戏咨询
今日有出分爆料吗	游戏咨询
没有彩票的吗	游戏咨询
qpp登陆加不加什么	游戏咨询
今天QT和PNG平台那些游戏出分高	游戏咨询
sw出分高点的游戏	游戏咨询
手机客服端pt前面加什么	游戏咨询
请问pt手机客户端账号前需要添加什么吗？	游戏咨询
帮我查中午的游戏记录，sw平台的	游戏咨询
体育世界杯投注亏损今天不算吗	游戏咨询
小宝，今天哪个游戏好玩	游戏咨询
请问登录前面应该加什么符号	游戏咨询
今天的pt游戏推荐是什么	游戏咨询
现在什么游戏比较出分	游戏咨询
给我看看pt和sw出分游戏	游戏咨询
我想问一下赔付率会不会出错？	游戏咨询
可以查询游戏记录吗?	游戏咨询
Pt DT ttg目前哪款游戏爆分	游戏咨询
SW DT现在出分的游戏	游戏咨询
你们的游戏 吃钱吃得太厉害了	游戏咨询
账号被禁用？	账号解锁、忘记账号
我忘记了会员帐号	账号解锁、忘记账号
给我吧账号解锁下	账号解锁、忘记账号
我的账号忘了	账号解锁、忘记账号
我忘记账号了	账号解锁、忘记账号
我帐号密码忘记了被冻结了	账号解锁、忘记账号
忘记会员账号密码	账号解锁、忘记账号
我账号没记住给忘了，能帮忙给查一下吗	账号解锁、忘记账号
账号锁了！登录密码忘了	账号解锁、忘记账号
我的账号和密码忘记了	账号解锁、忘记账号
我忘记账号了	账号解锁、忘记账号
我帐号忘了	账号解锁、忘记账号
解锁账号	账号解锁、忘记账号
忘记账号了怎么办	账号解锁、忘记账号
我的手机号被注册过了，能帮我查下账号吗	账号解锁、忘记账号
客服，请帮助登录帐号解锁一下。帐号  sss369	账号解锁、忘记账号
账号冻结	账号解锁、忘记账号
账号被冻结	账号解锁、忘记账号
帐号解锁	账号解锁、忘记账号
账号被禁用？	账号解锁、忘记账号
账号冻结了	账号解锁、忘记账号
slot是什么意思	转账咨询
我一键回归额度怎么钱转不见了？	转账咨询
老虎机钱包可以玩哪些老虎机	转账咨询
bbin账户的钱突然不见了	转账咨询
我想玩MG游戏，可是不知道户内转账转到哪里	转账咨询
我的钱在老虎机帐户里	转账咨询
申请充值就送钱	咨询当下相关活动
存款就送钱那个彩金怎么就不给我呢	咨询当下相关活动
申请存200送18元	咨询当下相关活动
申请取金路上彩金	咨询当下相关活动
申请存款彩金	咨询当下相关活动
申请支付宝存款奖金	咨询当下相关活动
申请1000送88	咨询当下相关活动
申请存钱奖励	咨询当下相关活动
今天有没有充值就送钱的活动	咨询当下相关活动
申请存款红包	咨询当下相关活动
存款领彩金	咨询当下相关活动
申请2018尽享收益、充值就送钱	咨询当下相关活动
参加西方取经活动	咨询当下相关活动
申请存100送8	咨询当下相关活动
会员日活动是什么？	咨询当下相关活动
申请会员日彩金	咨询当下相关活动
请问我的会员日是哪个月	咨询当下相关活动
会员日彩金需要打几倍流水	咨询当下相关活动
领取会员周年日活动	咨询当下相关活动
是不是可以申请会员周年日	咨询当下相关活动
帮我查一下我的会员日好吗	咨询当下相关活动
申请个会员日彩金名额满了？	咨询当下相关活动
周年日彩金可以领吗	咨询当下相关活动
会员日彩金要怎么申请？	咨询当下相关活动
申请会员一周年奖金	咨询当下相关活动
会员周年日彩金我能领取吗	咨询当下相关活动
你好美女！能申请会员周年日优惠吗？	咨询当下相关活动
会员日彩金还有名额吗？	咨询当下相关活动
我的会员日是哪天	咨询当下相关活动
可以领周年礼金不	咨询当下相关活动
能不能查查我什么时候注册的	咨询当下相关活动
那个存款送彩金是什么意思	咨询当下相关活动
申请存款红包	咨询当下相关活动
申请周年日彩金	咨询当下相关活动
上月签到彩金怎么没有呢	咨询当下相关活动
现在是不是有存送	咨询当下相关活动
申请存款彩金	咨询当下相关活动
是不是有存送	咨询当下相关活动
再帮忙看看我有啥免费彩金可以领取的？	咨询当下相关活动
申请会员周年彩金	咨询当下相关活动
申请支付宝存款奖金	咨询当下相关活动
充值就送这么领	咨询当下相关活动
我申请存款送红包	咨询当下相关活动
申请充值彩金	咨询当下相关活动
申请存款送现金	咨询当下相关活动
申请存款送彩金	咨询当下相关活动
我的APP朋友圈打卡10天彩金为什么还不派发给我	咨询当下相关活动
千倍百倍什么时候发	咨询当下相关活动
麻烦你帮查询下我的账号参加老虎机充30送21的优惠活动是否可还可以参加。是否超过最大使用次数。	咨询当下相关活动
我能领取什么奖金吗	咨询当下相关活动
签到金有什么用？	咨询当下相关活动
我要申请充值送彩金	咨询当下相关活动
申请充值200送18红包	咨询当下相关活动
签到领的余额不能玩游戏嘛	咨询当下相关活动
领取存款红包	咨询当下相关活动
会员周年日彩金我能领取吗	咨询当下相关活动
我可以领取什么奖金？	咨询当下相关活动
申请存钱红包	咨询当下相关活动
申请存款彩金	咨询当下相关活动
申请存钱送红包	咨询当下相关活动
签到签到余额怎么用	咨询当下相关活动
客服给我打电话说送彩金	咨询当下相关活动
签到余额不能户内转账吗	咨询当下相关活动
申请百家乐连赢彩金	咨询当下相关活动
下载久安钱包没彩金	咨询当下相关活动
你好怎么领取签到的钱	咨询当下相关活动
你好我问一下，就是那个年货优惠我忘喽生情，我现在可以生情吗	咨询当下相关活动
今天输了很多有什么彩金可申请?	咨询当下相关活动
我的充值积分怎么没变化	咨询当下相关活动
亲，今日存款10块送20吗	咨询当下相关活动
你好，请问31号存10元可申请什么优惠？	咨询当下相关活动
最近活动	咨询当下相关活动
最近活动有什么	咨询当下相关活动
有什么活动	咨询当下相关活动
现在是不是有存送	咨询当下相关活动
最近有什么活动	咨询当下相关活动
申请充值200送18	咨询当下相关活动
现在有什么活动	咨询当下相关活动
申请存款红包	咨询当下相关活动
上月签到彩金怎么没有呢	咨询当下相关活动
最近活动	咨询当下相关活动
char3ing申请周年日彩金	咨询当下相关活动
最近活动	咨询当下相关活动
现在有什么活动	咨询当下相关活动
最近有什么活动最近有什么活动	咨询当下相关活动
最强存送怎么申请	咨询当下相关活动
最近活动	咨询当下相关活动
今天还有充值200送18？	咨询当下相关活动
最近活动最近活动	咨询当下相关活动
最近有什么活动	咨询当下相关活动
现在有什么活动	咨询当下相关活动
你们打电话我说放款加你们微信冲钱送多少	咨询当下相关活动
西天取金是什么	咨询当下相关活动
七夕那个活动	咨询当下相关活动
周年彩金怎么领取	咨询当下相关活动
